ID,PlayerName,GamesPlayed,GamesStarted,MinutesPerGame,OffensiveRebounds,DeffensiveRebounds,TotalRebounds,ReboundsPerGame
226,S. Curry,9,4,18.8,9,11,20,2.2
227,R. Dunn,9,3,16.4,3,17,20,2.2
228,D. Russell,10,8,29.3,4,18,22,2.2
229,A. Simons,11,11,32.0,2,22,24,2.2
230,D. Terry,11,0,13.0,11,13,24,2.2
231,X. Tillman,9,1,10.2,6,14,20,2.2
232,M. Beasley,11,0,26.4,6,17,23,2.1
233,Q. Grimes,9,0,12.0,2,17,19,2.1
234,T. Horton-Tucker,8,0,10.5,3,14,17,2.1
235,T. Jerome,12,0,16.5,7,18,25,2.1
236,J. McCain,9,0,15.6,4,14,18,2.0
237,M. Moody,10,4,16.6,6,14,20,2.0
238,A. Nembhard,7,7,26.7,1,13,14,2.0
239,J. Poole,9,9,30.3,3,15,18,2.0
240,J. Strawther,10,0,21.4,5,15,20,2.0
241,M. Branham,9,0,16.3,0,17,17,1.9
242,D. Garland,12,12,29.5,6,17,23,1.9
243,K. Jones,9,0,8.2,9,8,17,1.9
244,T. McConnell,9,0,17.2,3,14,17,1.9
245,B. Sensabaugh,8,0,12.9,5,10,15,1.9
246,B. Sheppard,10,2,19.1,4,15,19,1.9
247,L. Waters III,9,1,13.7,4,13,17,1.9
248,D. Jones,10,0,6.7,7,11,18,1.8
249,D. Knecht,10,1,16.9,4,14,18,1.8
250,R. Rupert,10,0,11.8,7,11,18,1.8
251,M. Christie,10,0,13.1,5,13,18,1.8
252,K. Ellis,10,1,21.1,9,9,18,1.8
253,J. Phillips,11,0,13.5,11,9,20,1.8
254,T. Hardaway Jr.,11,11,29.3,1,18,19,1.7
255,S. Merrill,12,0,19.7,2,18,20,1.7
256,G. Payton II,10,2,12.3,9,8,17,1.7
257,D. Robinson,8,0,16.4,0,13,13,1.6
258,A. Mitchell,11,0,14.2,2,15,17,1.5
259,J. Davis,8,0,7.9,4,7,11,1.4
260,J. Green,8,7,22.4,4,7,11,1.4
261,G. Harris,10,0,17.4,4,10,14,1.4
262,G. Mathews,10,0,22.9,3,11,14,1.4
263,G. Trent Jr.,8,7,26.9,0,11,11,1.4
264,D. Banton,9,0,10.6,2,10,12,1.3
265,R. Sheppard,11,0,12.0,5,9,14,1.3
266,K. Wallace,9,0,14.6,1,11,12,1.3
267,A. Green,9,0,15.6,0,11,11,1.2
268,S. Dinwiddie,9,0,18.4,1,9,10,1.1
269,J. Walsh,9,0,10.4,2,8,10,1.1
270,P. Baldwin Jr.,7,0,5.3,2,5,7,1.0
271,J. Howard,11,0,9.2,1,10,11,1.0
272,M. Beauchamp,7,0,3.6,2,4,6,0.9
273,J. Butler,8,0,9.1,2,5,7,0.9
274,J. Hardy,9,0,10.9,3,5,8,0.9
275,P. Mills,9,0,15.3,1,7,8,0.9
276,S. Milton,8,0,9.3,2,5,7,0.9
277,J. Shead,11,0,16.1,1,9,10,0.9
278,G. Vincent,10,0,18.2,2,7,9,0.9
279,E. Gordon,8,1,20.6,2,4,6,0.8
280,R. Rollins,8,0,5.8,2,4,6,0.8
281,T. Kolek,7,0,6.7,2,3,5,0.7
282,O. Prosper,7,0,6.3,4,1,5,0.7
283,T. Smith,7,0,3.9,1,4,5,0.7
284,A. Gill,7,0,3.0,1,3,4,0.6
285,B. Wesley,10,0,11.4,2,4,6,0.6
286,D. Wright,7,0,13.0,0,4,4,0.6
287,J. McLaughlin,8,0,5.4,1,3,4,0.5
288,Y. Kawamura,8,0,3.3,0,2,2,0.3
