ID,Name,GamesPlayed,GamesStarted,MinutesPerGame,PointsPerGame,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,ThreePointFieldGoalsMade,ThreePointFieldGoalsAttempted,ThreePointFieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage
30,J. Randle,10,10,33.5,21.1,76,143,53.1,18,44,40.9,41,51,80.4
31,J. Harden,11,11,35.1,20.8,65,181,35.9,27,88,30.7,72,84,85.7
32,N. Vucevic,11,11,32.2,20.8,92,157,58.6,22,47,46.8,23,27,85.2
33,J. Green,11,11,33.5,20.7,77,198,38.9,33,96,34.4,41,47,87.2
34,D. Sabonis,11,11,36.8,20.7,87,137,63.5,9,24,37.5,45,54,83.3
35,J. Morant,8,8,27.9,20.6,56,125,44.8,8,31,25.8,45,54,83.3
36,D. Garland,12,12,29.5,20.2,91,173,52.6,39,85,45.9,21,23,91.3
37,J. Poole,9,9,30.3,20.0,60,141,42.6,30,72,41.7,30,33,90.9
38,P. Siakam,10,10,33.5,20.0,80,147,54.4,21,47,44.7,19,27,70.4
39,F. Wagner,11,11,29.1,19.9,83,176,47.2,18,53,34.0,35,42,83.3
40,J. Williams,11,11,32.3,19.9,89,175,50.9,20,50,40.0,21,29,72.4
41,V. Wembanyama,11,11,31.3,19.7,78,175,44.6,26,83,31.3,35,38,92.1
42,D. Schroder,11,11,34.9,19.5,75,155,48.4,34,72,47.2,31,36,86.1
43,C. White,11,11,33.6,19.5,72,163,44.2,39,101,38.6,31,37,83.8
44,B. Mathurin,10,5,30.4,19.4,63,114,55.3,19,38,50.0,49,61,80.3
45,J. Johnson,11,11,36.5,19.1,78,173,45.1,16,53,30.2,38,54,70.4
46,G. Dick,11,11,31.9,19.0,75,163,46.0,27,73,37.0,32,36,88.9
47,D. White,11,11,34.5,18.8,71,151,47.0,40,98,40.8,25,28,89.3
48,A. Reaves,10,10,34.3,18.7,66,136,48.5,27,73,37.0,28,36,77.8
49,J. Ivey,11,11,32.2,18.5,75,164,45.7,20,54,37.0,34,47,72.3
50,E. Mobley,12,12,30.0,18.1,87,155,56.1,7,21,33.3,36,46,78.3
51,J. Grant,11,11,32.7,18.1,67,168,39.9,27,81,33.3,38,49,77.6
52,J. Murray,7,7,35.3,18.1,43,108,39.8,13,40,32.5,28,33,84.8
53,B. Hield,10,1,24.9,18.0,64,128,50.0,40,82,48.8,12,14,85.7
54,M. Porter Jr.,10,10,36.8,18.0,67,141,47.5,31,76,40.8,15,20,75.0
